time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00739549,-0.0388843446305973,9.999,0.046279834630597295,390.7974334731934,40477.00000000005
0.005,0.0357404,-0.0386889459138607,10.09899,0.07442934591386069,781.5948669463958,31897.86000000003
0.01,0.08883014,-0.0388843446305973,10.0999899,0.1277144846305973,781.594866946407,-4646.020000000084
0.015,0.16215838,-0.0388843446305973,10.099999898999998,0.2010427246305973,8.949576745220998e-12,-30936.78
0.02,0.25165231,-0.0388843446305973,10.09999999899,0.2905366546305973,-195.39871673659894,-27658.27999999994
0.025,0.3536585,-0.0388843446305973,10.0999999999899,0.3925428446305973,-8.88178419700124e-12,-24528.259999999977
0.03,0.46492522,-0.0388843446305973,-9.8980000000001,0.5038095646305972,-8.881784197001247e-12,-21563.229999999814
0.035,0.58258248,-0.0388843446305973,-10.09798,0.6214668246305973,1.332267629550188e-11,-18776.120000000257
0.04,0.70412061,-0.0388843446305973,-10.099979799999998,0.7430049546305973,0.0,-16176.490000000113
0.045,0.82736709,-0.0388843446305973,-10.099999798,0.8662514346305973,-1.3322676295501882e-11,-13768.509999999378
0.05,0.95046236,-0.0388843446305973,-5.100499997979999,0.9893467046305973,1.332267629550188e-11,-11552.860000000415
0.055,1.07183584,-0.0388843446305973,-5.0505049999798,1.1107201846305974,4.440892098500621e-12,-9529.45000000073
0.06,1.19018196,-0.0388843446305973,-5.050005049999798,1.2290663046305974,-8.881784197001268e-12,-7695.499999999403
0.065,1.30443587,-0.0388843446305973,-5.050000050499998,1.3433202146305974,-4.440892098500674e-12,-6044.469999999383
0.07,1.41374996,-0.0388843446305973,-5.050000000504999,1.4526343046305974,-4.4408920985006544e-12,-4569.320000000491
0.075,1.51747168,-0.0388843446305973,-5.050000000005049,1.5563560246305974,1.3322676295501878e-11,-3263.320000000298
0.08,1.61512189,-0.0388843446305973,-5.05000000000005,1.6540062346305973,0.0,-2117.6799999992436
0.085,1.70637395,-0.0388843446305973,-5.05,1.7452582946305972,-1.332267629550188e-11,-1121.9100000002763
0.09,1.79103443,-0.0388843446305973,-5.05,1.8299187746305974,1.3322676295501878e-11,-265.1800000009207
0.095,1.869025,-0.0388843446305973,-5.05,1.9079093446305972,0.0,463.3900000001631
0.1,1.94036567,-0.0388843446305973,-5.05,1.9792500146305974,-1.332267629550188e-11,1073.7800000003517
0.105,2.00515965,-0.0388843446305973,-5.05,2.0440439946305973,1.3322676295501878e-11,1575.7600000006714
0.11,2.063579,-0.0388843446305973,-5.05,2.102463344630597,0.0,1979.9200000003002
0.115,2.11585168,-0.0388843446305973,-5.05,2.1547360246305973,-1.332267629550188e-11,2296.0199999993965
0.12,2.16225018,-0.0388843446305973,-5.05,2.2011345246305973,8.881784197001267e-12,2533.0399999993133
0.125,2.20308101,-0.0388843446305973,-5.05,2.2419653546305973,4.440892098500662e-12,2700.789999999546
0.13,2.23867523,-0.0388843446305973,-5.05,2.2775595746305974,-8.881784197001238e-12,2808.3900000015565
0.135,2.26938068,-0.0388843446305973,-3.205079258504979,2.308265024630597,586.1961502100005,2863.2900000007503
0.14,2.29555494,-0.0388843446305973,0.858781581994534,2.3344392846305975,2149.3858841033157,2872.7599999978775
0.145,2.31755908,-0.0388843446305973,4.023387041021275,2.3564434246305974,3321.778184523405,2843.529999999577
0.15,2.3357526,-0.0382981484803873,6.351488469872685,2.3740507484803874,1563.1897338935883,2781.2900000012487
0.155,2.35048897,-0.036734958746494,8.046393038195182,2.3872239287464936,-2344.7846008400047,2692.1500000000215
0.16,2.36211174,-0.0338039779954439,9.205530455236095,2.395915717995444,-1758.5884506302627,2582.4900000003436
0.165,2.37095164,-0.0308729972443938,10.060804961550255,2.4018246372443937,586.1961502099309,2457.0600000006743
0.17,2.37732451,-0.0277466177766071,10.0996080496155,2.405071127776607,-1367.7910171566673,2318.909999998743
0.175,2.38152958,-0.023057048574927,10.099996080496156,2.404586628574927,-1563.1897338932672,2171.2799999989084
0.18,2.38384797,-0.019539871673667,10.09999996080496,2.403387841673667,-1563.1897338933686,2018.0400000004038
0.185,2.3845417,-0.0146549037552502,10.099999999608048,2.3991966037552506,-1367.7910171567678,1862.3700000009048
0.19,2.3838534,-0.0107469294205168,10.09999999999608,2.3946003294205167,1563.189733893414,1706.8000000008947
0.195,2.38200604,-0.0072297525192568,10.09999999999996,2.3892357925192567,-8.674305718159303e-11,1553.4399999995585
0.2,2.37920317,-0.0027355820343133,10.099999999999998,2.381938752034313,-1563.189733893237,1403.4399999991301
0.205,2.3756294,0.0007815948669466,5.100499999999999,2.374847805133053,1.6564172256039456e-10,1258.0200000002237
0.21,2.37145072,0.0044941704849434,5.050504999999999,2.3669565495150566,1758.5884506298212,1118.880000000507
0.215,2.36681522,0.0078159486694668,5.050005049999999,2.358999271330533,2735.5820343133137,987.0099999997683
0.22,2.36185407,0.0109423281372535,5.0500000505,2.3509117418627468,-1563.1897338932731,862.6899999993022
0.225,2.35668238,0.0156318973389336,5.050000000504999,2.3410504826610663,-3126.3794677866745,746.1100000003279
0.23,2.35140023,0.0193444729569303,5.050000000005049,2.3320557570430696,2930.980751050065,637.9300000006092
0.235,2.34609357,0.0226662511414537,5.05000000000005,2.3234273188585464,1953.9871673666921,539.2199999994331
0.24,2.34083531,0.0265742254761871,5.05,2.314261084523813,-4689.569201680049,449.50999999997475
0.245,2.33568672,0.0318499908280772,5.05,2.303836729171923,-1953.9871673667758,366.90000000049815
0.25,2.33069853,0.0345855728623906,5.05,2.296112957137609,2540.1833175766833,291.31999999975574
0.255,2.32591134,0.038493547197124,5.05,2.2874177928028763,2344.784600840196,223.97000000040475
0.26,2.32135679,0.041424527948174,5.05,2.2799322620518256,1172.3923004200078,164.48999999966088
0.265,2.31705875,0.0451371035661708,5.05,2.2719216464338294,-2540.1833175768124,111.91999999880409
0.27,2.31303406,0.0494358753343775,5.05,2.263598184665623,-2149.385884103259,65.91000000127974
0.275,2.30929344,0.0529530522356376,5.05,2.256340387764362,2540.1833175767515,26.180000000698328
0.28,2.30584226,0.0560794317034243,5.05,2.249762828296576,2149.3858841031074,-7.680000001350891
0.285,2.30268132,0.0597920073214211,5.05,2.242889312678579,-1953.987167366647,-36.20999999981723
0.29,2.29980757,0.0638953803728911,5.05,2.235912189627109,-1172.3923004197677,-59.81999999961113
0.295,2.29721471,0.0678033547076245,5.05,2.2294113552923753,2930.980751049906,-78.71000000022832
0.3,2.29489378,0.0709297341754113,5.05,2.223964045824589,-8.668621376273216e-11,-93.53999999973371
0.305,2.29283379,0.075814702093828,5.05,2.217019087906172,-3126.379467786687,-105.39000000022747
0.31,2.29102218,0.0801134738620348,5.05,2.2109087061379653,390.79743347328383,-114.59000000030517
0.315,2.28944502,0.0838260494800315,5.05,2.2056189705199687,8.958522812463343e-11,-120.74999999953161
0.32,2.28808738,0.0883202199649749,5.05,2.199767160035025,-1953.9871673665969,-124.00999999982776
0.325,2.28693381,0.0922281942997083,5.05,2.1947056157002915,1172.3923004200262,-125.06000000058725
0.33,2.28596863,0.0955499724842317,5.05,2.1904186575157683,2735.582034313365,-124.26999999945531
0.335,2.28517615,0.0990671493854918,5.05,2.186109000614508,586.1961502099073,-121.63999999955604
0.34,2.28454087,0.1029751237202252,5.05,2.181565746279775,-976.9935836835267,-117.5600000010462
0.345,2.28404777,0.1070784967716953,5.05,2.1769692732283046,-586.1961502098816,-112.84999999958558
0.35,2.28368246,0.1111818698231653,5.05,2.172500590176835,-195.39871673654244,-107.9299999992175
0.355,2.28343111,0.1152852428746354,5.05,2.1681458671253644,-781.5948669468562,-102.82000000103142
0.36,2.28328055,0.1195840146428422,5.05,2.163696535357158,-586.1961502099243,-97.37000000086465
0.365,2.28321824,0.1234919889775755,5.05,2.1597262510224247,390.79743347343594,-91.34999999929488
