time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.0078951,-0.0640907790896278,9.999,0.07198587908962781,0.0,43208.08000000011
0.005,0.03815456,-0.0640907790896278,10.09899,0.1022453390896278,-8.881784197001256e-12,34048.11000000003
0.01,0.09482947,-0.0640907790896278,10.0999899,0.15892024908962782,-3.0814879110195788e-27,-4965.290000000197
0.015,0.17310842,-0.0640907790896278,10.099999898999998,0.23719919908962783,1.7763568394002505e-11,-33031.31000000003
0.02,0.26864285,-0.0640907790896278,10.09999999899,0.3327336290896278,6.162975822039153e-27,-29530.11999999985
0.025,0.37753193,-0.0640907790896278,10.0999999999899,0.4416227090896278,-8.881784197001244e-12,-26186.969999999863
0.03,0.49630393,-0.0640907790896278,10.099999999999898,0.5603947090896279,0.0,-23020.709999999734
0.035,0.62189497,-0.0640907790896278,-9.898,0.6859857490896278,0.0,-20045.02000000047
0.04,0.75162574,-0.0640907790896278,-10.097979999999998,0.8157165190896278,0.0,-17268.8800000005
0.045,0.88317683,-0.0640907790896278,-10.099979799999998,0.9472676090896278,195.39871673670987,-14697.329999999238
0.05,1.01456326,-0.0640907790896278,-5.100499798,1.078654039089628,-5.423403857582613e-13,-12332.320000000069
0.055,1.14410863,-0.0640907790896278,-5.050504997979999,1.208199409089628,-586.1961502101303,-10172.820000000826
0.06,1.27041916,-0.0638953803728911,-5.0500050499798,1.334314540372891,-1.084680771516521e-12,-8214.939999999251
0.065,1.39235805,-0.0640907790896278,-5.050000050499797,1.4564488290896278,586.1961502101287,-6452.849999999165
0.07,1.50902062,-0.0640907790896278,-5.050000000504998,1.573111399089628,-1.0846807715165203e-12,-4879.210000000741
0.075,1.61971015,-0.0640907790896278,-5.050000000005049,1.6838009290896279,-195.39871673671013,-3485.2100000005776
0.08,1.72391479,-0.0640907790896278,-5.05000000000005,1.788005569089628,0.0,-2261.1599999999235
0.085,1.82128572,-0.0640907790896278,-5.05,1.885376499089628,0.0,-1196.7400000003618
0.09,1.91161646,-0.0640907790896278,-5.05,1.975707239089628,0.0,-281.0899999993817
0.095,1.9948236,-0.0640907790896278,-5.05,2.058914379089628,0.0,496.8700000011959
0.1,2.07092889,-0.0640907790896278,-5.05,2.1350196690896275,0.0,1148.2999999992462
0.105,2.1400427,-0.0640907790896278,-5.05,2.2041334790896276,0.0,1684.3299999988412
0.11,2.20234895,-0.0640907790896278,-5.05,2.266439729089628,0.0,2115.92000000022
0.115,2.25809132,-0.0640907790896278,-5.05,2.322182099089628,0.0,2453.550000000985
0.12,2.30756097,-0.0640907790896278,-5.05,2.3716517490896276,0.0,2707.1600000005456
0.125,2.35108538,-0.0640907790896278,-5.05,2.4151761590896275,0.0,2886.4199999984157
0.13,2.3890185,-0.0640907790896278,-5.05,2.453109279089628,-8.881784197001238e-12,3000.669999999547
0.135,2.42173204,-0.0640907790896278,-5.05,2.485822819089628,8.88178419700141e-12,3058.530000001523
0.14,2.44960796,-0.0640907790896278,-3.009597644523145,2.5136987390896275,976.9935836834203,3067.8099999999577
0.145,2.47303197,-0.0640907790896278,1.4930399746254897,2.5371227490896278,3321.7781845233812,3035.879999999941
0.15,2.49238788,-0.0640907790896278,4.78208933071603,2.5564786590896276,4494.1704849432945,2969.629999999812
0.155,2.50805298,-0.0631137855059444,7.155267699147372,2.5711667655059443,390.7974334732953,2875.1799999994837
0.16,2.52039414,-0.0607690009051044,8.851765457844188,2.5811631409051046,-4884.9679184166935,2758.01000000115
