time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00296849,0.0,9.999,0.00296849,0.0,16391.740000000027
0.005,0.01435877,0.0,10.09899,0.01435877,0.0,12988.940000000028
0.01,0.03572664,0.0,10.0999899,0.03572664,0.0,-1677.050000000021
0.015,0.06529038,0.0,10.099999898999998,0.06529038,0.0,-12267.919999999987
0.02,0.10142891,0.0,10.09999999899,0.10142891,0.0,-10957.010000000011
0.025,0.14269599,0.0,10.0999999999899,0.14269599,0.0,-9734.430000000042
0.03,0.18780738,0.0,-9.8980000000001,0.18780738,0.0,-8592.469999999936
0.035,0.23561859,0.0,-10.09798,0.23561859,0.0,-7500.970000000072
0.04,0.28512762,0.0,-10.099979799999998,0.28512762,0.0,-6459.520000000024
0.045,0.33546571,0.0,-10.099999798,0.33546571,0.0,-5472.009999999784
0.05,0.38588866,0.0,-5.100499997979999,0.38588866,0.0,-4563.7100000001155
0.055,0.43577783,0.0,-5.0505049999798,0.43577783,0.0,-3755.3600000002825
0.06,0.48461849,0.0,-5.050005049999798,0.48461849,195.3987167366002,-3046.209999999757
0.065,0.53199124,0.0,-5.050000050499998,0.53199124,-1.5777218104420223e-28,-2434.4099999996033
0.07,0.57756175,0.0,-5.050000000504999,0.57756175,-586.196150209802,-1883.1700000003475
0.075,0.62105973,0.0001953987167366,-5.050000000005049,0.6208643312832635,-3.2540423145477376e-12,-1366.100000000395
0.08,0.66228403,0.0,-5.05000000000005,0.66228403,586.1961502097995,-914.4999999996562
0.085,0.70110013,0.0,-5.05,0.70110013,0.0,-529.509999999811
0.09,0.73741923,0.0,-5.05,0.73741923,-195.39871673660002,-186.41000000015083
0.095,0.77119794,0.0,-5.05,0.77119794,195.39871673660002,100.09999999996398
0.1,0.80243784,0.0,-5.05,0.80243784,0.0,340.15999999993073
0.105,0.83116675,0.0,-5.05,0.83116675,-586.1961502097987,566.8899999999139
0.11,0.85743996,0.0001953987167366,-5.05,0.8572445612832634,0.0,746.2700000000659
0.115,0.88134672,0.0,-5.05,0.88134672,586.1961502097987,843.9300000000476
0.12,0.90299248,0.0,-5.05,0.90299248,0.0,915.0000000001119
0.125,0.92248412,0.0,-6.291814526732003,0.92248412,-195.39871673660002,1001.1300000002338
0.13,0.93993933,0.0,-3.21849160445658,0.93993933,195.39871673660116,1050.8399999999074
0.135,0.95549395,0.0,0.2579909135201114,0.95549395,1172.3923004200035,1046.2499999995362
0.14,0.96928164,0.0,1.3546031464406276,0.96928164,3907.9743347336075,1051.6200000000554
0.145,0.98142705,0.0001953987167366,4.903626020785677,0.9812316512832634,3907.974334733406,1066.860000000409
0.15,0.99206566,0.00117239230042,6.3322283339736805,0.99089326769958,-2149.385884103591,1035.869999999777
0.155,1.00133504,0.0044941704849434,6.528674378306153,0.9968408695150567,-4103.373051469993,983.3499999997703
0.16,1.00935825,0.0074251512359934,3.719647203240304,1.0019330987640067,-1367.7910171564822,951.2300000005735
0.165,1.01625379,0.0107469294205168,2.5176543670973666,1.0055068605794832,-976.9935836833802,900.5900000000997
0.17,1.02214276,0.0146549037552502,0.399996119788306,1.0074878562447498,195.39871673647963,807.199999999275
0.175,1.02713453,0.0175858845063003,-1.573102640487081,1.0095486454936997,-3126.3794677866986,723.8800000000456
0.18,1.03131978,0.021884656274507,-3.215196678511338,1.009435123725493,-8988.340969886665,675.910000000084
0.185,1.03478446,0.0252064344590304,-2.6415800560395835,1.0095780255409696,-6252.758935573473,621.6099999998892
0.19,1.03761319,0.0259880293259771,-3.760228259347362,1.011625160674023,1172.3923004199823,542.5200000007617
0.195,1.03987949,0.0246202383088204,-4.749826160220217,1.0152592516911796,7815.948669466762,466.48000000018396
0.2,1.0416446,0.020712263974087,-4.928681014247218,1.0209323360259128,7620.549952730027,410.2799999991141
0.205,1.04296214,0.0169996883560903,-4.813387299867593,1.0259624516439096,976.9935836835606,366.1599999998134
0.21,1.04388049,0.0138733088883035,-5.160571426306836,1.0300071811116966,-781.5948669465307,330.9700000002679
0.215,1.04444269,0.0099653345535701,-5.386106213499475,1.0344773554464297,976.9935836831698,311.5999999999983
0.22,1.04468702,0.0064481576523101,-4.768485270644087,1.03823886234769,1172.3923004200867,302.290000000482
0.225,1.04465211,0.0027355820343133,-3.578076785660121,1.0419165279656866,390.7974334733833,290.38000000013847
0.23,1.04437579,-0.00058619615021,-2.2966137434045724,1.04496198615021,-781.5948669469719,279.3299999993318
0.235,1.04389269,-0.00351717690126,-0.8368776361653866,1.0474098669012601,390.7974334733216,276.13999999985845
0.24,1.04323718,-0.0068389550857834,0.9836197986171572,1.0500761350857835,3126.3794677868777,279.2000000000898
0.245,1.04244376,-0.0095745371200968,2.6172697836578798,1.0520182971200969,5471.164068626675,284.930000000116
0.25,1.04154733,-0.0119193217209368,4.127042810152493,1.0534666517209368,4494.170484943385,290.740000000369
0.255,1.04058452,-0.0123101191544102,5.866900401595712,1.05289463915441,-1367.7910171565009,305.5899999999661
0.26,1.03959117,-0.0103561319870435,7.035865067003583,1.0499473019870436,-5861.961502099983,329.30999999976405
0.265,1.03860571,-0.0072297525192568,8.93217423352972,1.0458354625192567,-5471.164068626983,326.0899999999359
0.27,1.03767429,-0.00351717690126,10.088321742335296,1.04119146690126,-781.5948669469371,300.59000000022684
0.275,1.03683664,-0.0001953987167366,10.099883217423352,1.0370320387167367,1758.5884506302475,316.0400000000196
0.28,1.03612278,0.0031263794677867,10.099998832174233,1.0329964005322132,-2540.1833175764614,340.2799999996427
0.285,1.0355779,0.0080113473862034,10.09999998832174,1.0275665526137967,-2540.1833175768593,280.19000000028586
0.29,1.03525268,0.0113331255707268,10.099999999883217,1.0239195544292732,1758.5884506298498,200.8700000001752
0.295,1.03516977,0.0148503024719869,10.09999999999883,1.0203194675280132,1172.3923004200576,227.39999999956183
0.3,1.03534418,0.0185628780899836,10.099999999999987,1.0167813019100165,390.7974334734032,333.669999999983
0.305,1.03581312,0.0220800549912437,10.099999999999998,1.0137330650087564,195.39871673660213,411.0200000000923
0.31,1.03662468,0.0259880293259771,10.099999999999998,1.010636650674023,-586.1961502101034,366.52000000003613
0.315,1.03784162,0.0300914023774472,5.100499999999999,1.0077502176225528,-586.1961502100011,246.42000000014195
0.32,1.0395052,0.0338039779954439,5.050504999999999,1.005701222004556,-1758.588450629901,214.99000000005708
0.325,1.04162179,0.0382981484803873,5.050005049999999,1.0033236415196127,1.0089706847793423e-10,216.4500000000662
0.33,1.04423216,0.041424527948174,5.0500000505,1.002807632051826,2540.183317576655,119.54000000002839
0.335,1.04736862,0.0449417048494341,5.050000000504999,1.002426915150566,-390.79743347338336,57.67999999947733
0.34,1.05102201,0.0488496791841675,5.050000000005049,1.0021723308158326,-1953.9871673667053,90.81999999964955
0.345,1.05520165,0.0525622548021642,5.05000000000005,1.0026393951978358,1172.392300419839,70.54000000080441
0.35,1.05993243,0.055688634269951,5.05,1.004243795730049,2735.58203431344,34.44000000014967
0.355,1.0652117,0.059205811171211,6.847968836342199,1.006005888828789,-195.3987167363819,62.43999999938569
0.36,1.07103396,0.0631137855059444,7.014584730266649,1.0079201744940556,-2735.5820343135792,-30.7799999997369
0.365,1.07743321,0.0676079559908879,6.67061603672988,1.009825254009112,390.79743347301957,-220.43999999979883
0.37,1.08438904,0.0709297341754113,6.218547147292642,1.0134593058245887,2149.385884103611,-160.77000000010025
0.375,1.0918354,0.0750331072268813,5.812405774768748,1.0168022927731186,-1563.189733893134,85.51000000011595
0.38,1.09977723,0.0795272777118247,5.623636005183013,1.0202499522881752,-2149.3858841034335,112.25999999993496
0.385,1.1082575,0.0836306507632948,5.705902524036525,1.024626849236705,6.104983185650781e-11,-135.88000000013108
0.39,1.11728404,0.0873432263812915,5.629401486006719,1.0299408136187085,781.5948669465294,-369.49000000006686
0.395,1.12681177,0.091251200716025,5.657346233202772,1.0355605692839749,976.9935836831926,-364.9399999996174
0.4,1.13677359,0.0943775801838117,5.618322600934658,1.0423960098161884,-195.39871673650833,-181.35999999983005
0.405,1.14712872,0.0986763519520184,5.742198194091792,1.0484523680479816,-390.79743347338103,-92.170000000772
0.41,1.15788094,0.1016073327030685,5.773949650729124,1.0562736072969316,-1.1254996934439987e-11,-236.9800000003977
0.415,1.16902699,0.1057107057545385,5.802096554562965,1.0633162842454615,390.79743347346005,-443.91999999974087
0.42,1.18051392,0.1086416865055886,5.767607285368726,1.0718722334944115,586.1961502100124,-524.6599999995278
0.425,1.1922696,0.1123542621235853,5.823175486667712,1.0799153378764146,1.7053025658242404e-11,-477.7899999994869
0.43,1.20422861,0.1158714390248454,5.805534549397376,1.0883571709751545,976.993583683309,-348.67000000005504
0.435,1.21633189,0.1191932172093688,5.875621048916905,1.0971386727906312,-195.39871673682524,-215.52000000042403
0.44,1.22854722,0.1232965902608389,5.93353705878315,1.105250629739161,-2149.385884103406,-184.95000000015676
0.445,1.24086519,0.1272045645955723,5.985982965133128,1.1136606254044277,195.39871673689487,-181.3599999999836
0.45,1.25325423,0.1307217414968323,5.969196281791464,1.1225324885031678,2540.1833175767715,-78.01000000000892
0.455,1.26568455,0.1342389183980924,6.101508849986295,1.1314456316019077,-1.4068746168049984e-10,-11.54999999968993
0.46,1.27816828,0.1383422914495625,6.1372518011408905,1.1398259885504376,-2930.980751050017,-118.41999999986673
0.465,1.29071196,0.1428364619345059,6.169004000982741,1.1478754980654942,-781.5948669466852,-250.95000000035998
0.47,1.30327782,0.1461582401190293,6.144753384373236,1.1571195798809706,1758.5884506298914,-297.59000000027083
0.475,1.315829,0.1500662144537627,6.255140900725103,1.1657627855462371,1563.1897338934566,-290.69000000020515
0.48,1.3283319,0.1533879926382861,6.301691262044383,1.1749439073617138,195.39871673687924,-175.07999999964153
0.485,1.34073808,0.1576867644064928,6.383089229719627,1.1830513155935072,-1172.39230042017,13.920000000379673
0.49,1.35303983,0.1615947387412263,6.394454058634611,1.1914450912587737,-976.9935836835223,56.91999999982039
0.495,1.36526412,0.165893510509433,6.465671052218942,1.199370609490567,195.39871673687924,-74.85000000002623
0.5,1.37741553,0.1696060861274297,6.419319466628872,1.2078094438725702,195.39871673668313,-166.64000000019985
0.505,1.38946404,0.1737094591788998,6.449717893846392,1.2157545808211,-781.5948669468731,-139.85999999988496
0.51,1.40138415,0.1776174335136332,6.482646470462912,1.2237667164863668,-390.79743347315167,-113.13999999941854
0.515,1.4131712,0.1813300091316299,6.516937475460982,1.2318411908683702,781.5948669468377,-89.99000000045487
0.52,1.42480583,0.18484718603289,6.499856892936928,1.23995864396711,390.7974334730806,-6.070000000875098
0.525,1.43627246,0.1883643629341501,6.6026791093186175,1.24790809706585,390.7974334731872,17.91000000054055
0.53,1.44759058,0.1920769385521468,6.632100976851453,1.2555136414478532,2149.3858841035485,-59.75999999918713
0.535,1.45876175,0.1952033180199335,6.613697909417798,1.2635584319800666,-390.79743347315167,-53.210000000373725
0.54,1.46975631,0.1996974885048769,6.654080738728759,1.2700588214951232,-3712.5756179967634,28.449999999511988
0.545,1.48057931,0.2039962602730837,6.737877068256087,1.2765830497269164,195.3987167365055,6.290000000032592
0.55,1.49124981,0.2073180384576071,6.712402886084713,1.283931771542393,3321.7781845232194,-61.05999999988683
0.555,1.50175359,0.2110306140756039,6.746901156749798,1.290722975924396,-195.39871673661207,-58.249999999873125
0.56,1.51207737,0.2151339871270739,6.776036345348526,1.2969433828729262,-3126.3794677863943,-49.83999999978994
0.5650000000000001,1.52222353,0.2196281576120173,6.800659938717979,1.3025953723879826,-390.7974334731872,-55.41999999962843
0.5700000000000001,1.53218074,0.2229499357965407,6.786870530324266,1.3092308042034593,1953.9871673664347,-31.460000000157606
0.5750000000000001,1.54193929,0.2266625114145375,6.866240660929532,1.3152767785854624,195.39871673633658,-19.430000000975156
0.58,1.5515045,0.2303750870325342,6.846453634684826,1.3211294129674658,-390.7974334732416,-31.74000000000501
0.585,1.56086941,0.2340876626505309,6.879456003955051,1.3267817473494692,1.3926637620897964e-10,-37.92999999886888
0.59,1.57002922,0.237604839551791,6.910826496515285,1.332424380448209,-1367.7910171567812,-26.290000000133773
0.595,1.57898215,0.2415128138865244,6.898109322376737,1.3374693361134757,7.105427357601002e-11,46.779999998986455
0.6,1.58771697,0.2446391933543111,6.9391712021666665,1.343077776645689,2149.3858841034066,121.20000000038533
0.605,1.59625122,0.2475701741053612,7.016782449188718,1.3486810458946388,-390.7974334734729,61.79000000059875
0.61,1.60461453,0.2514781484400946,6.994306372441169,1.3531363815599056,-781.5948669465897,-49.82000000040887
0.615,1.61279782,0.2544091291911446,7.028129306802709,1.3583886908088554,1758.5884506301836,-46.44000000013182
0.62,1.62078369,0.257730907375668,7.029628655907932,1.3630527826243322,1172.3923004199198,66.58000000015807
