time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00451173,-0.0500220714845875,9.999,0.0545338014845875,-390.7974334732245,24699.86000000007
0.005,0.02180452,-0.0500220714845875,10.09899,0.0718265914845875,-781.5948669464137,19467.970000000067
0.01,0.05419519,-0.0498266727678509,10.0999899,0.1040218627678509,-390.79743347318913,-2824.6900000000533
0.015,0.09893579,-0.0498266727678509,10.099999898999998,0.1487624627678509,781.5948669464134,-18861.030000000035
0.02,0.15354238,-0.0500220714845875,10.09999999899,0.20356445148458752,-9.123368727159686e-12,-16854.57000000001
0.025,0.21578806,-0.0498266727678509,10.0999999999899,0.2656147327678509,-781.5948669464135,-14941.590000000111
0.03,0.28369227,-0.0498266727678509,-9.8980000000001,0.33351894276785093,390.7974334732063,-13130.859999999666
0.035,0.35550676,-0.0500220714845875,-10.09798,0.40552883148458746,781.5948669464135,-11424.099999999837
0.04,0.42970327,-0.0500220714845875,-10.099979799999998,0.4797253414845875,0.0,-9830.750000000518
0.045,0.50496103,-0.0500220714845875,-10.099999798,0.5549831014845875,-781.5948669464135,-8362.710000000106
0.05,0.58015128,-0.0498266727678509,-5.100499997979999,0.629977952767851,-390.79743347320596,-7018.779999999854
0.055,0.65432012,-0.0498266727678509,-5.0505049999798,0.7041467927678509,586.1961502098111,-5788.569999999963
0.06,0.72667359,-0.0500220714845875,-5.050005049999798,0.7766956614845875,195.3987167365954,-4671.819999999774
0.065,0.79656525,-0.0498266727678509,-5.050000050499998,0.8463919227678509,3.979039320256561e-13,-3676.639999999972
0.07,0.86348163,-0.0500220714845875,-5.050000000504999,0.9135037014845875,1.7763568394002537e-11,-2795.3000000001102
0.075,0.9270246,-0.0498266727678509,-5.050000000005049,0.9768512727678509,-586.1961502098102,-2006.9900000001107
0.08,0.98689876,-0.0498266727678509,-5.05000000000005,1.0367254327678508,0.0,-1304.9599999999136
0.085,1.04290287,-0.0498266727678509,-5.05,1.092729542767851,781.5948669464137,-694.3899999999194
0.09,1.09491799,-0.0500220714845875,-5.05,1.1449400614845875,-2.5560671819487833e-11,-172.7900000001573
0.095,1.1428951,-0.0498266727678509,-5.05,1.192721772767851,-586.1961502098004,268.85000000036234
0.1,1.18684493,-0.0498266727678509,-5.05,1.2366716027678508,2.7730033362519688e-11,637.1099999998132
0.105,1.2268285,-0.0498266727678509,-5.05,1.276655172767851,195.39871673657692,936.7299999994084
0.11,1.26294843,-0.0498266727678509,-5.05,1.312775102767851,-195.39871673660386,1176.630000000363
0.115,1.29534018,-0.0498266727678509,-5.05,1.3451668527678509,2.664535259100376e-11,1368.8100000000031
0.12,1.32416522,-0.0498266727678509,-5.05,1.373991892767851,586.1961502097923,1518.4499999999625
0.125,1.34960677,-0.0500220714845875,-5.05,1.3996288414845877,-195.3987167366108,1624.3200000005509
0.13,1.37186411,-0.0498266727678509,-6.23302267975754,1.4216907827678509,-781.5948669464032,1688.0999999997857
0.135,1.39114672,-0.0498266727678509,-2.9554645878186965,1.440973392767851,390.79743347320766,1717.4399999995821
0.14,1.40766942,-0.0500220714845875,-0.4090008119935153,1.4576914914845875,1172.392300419808,1724.3200000001216
0.145,1.42164813,-0.0500220714845875,1.4038067603250692,1.4716702014845875,1953.9871673666958,1716.8100000003815
0.15,1.43329859,-0.0500220714845875,2.9027014938801914,1.4833206614845875,3712.5756179967984,1692.4900000001044
0.155,1.44283532,-0.0494358753343775,4.153942304099392,1.4922711953343775,3126.379467786874,1647.579999999206
0.16,1.45046843,-0.0478726856004842,5.1938783264603945,1.4983411156004842,-1172.392300419991,1585.3699999999517
0.165,1.45640078,-0.0443555086992241,6.241320140962641,1.500756288699224,-3517.176901260129,1511.4600000006676
0.17,1.46082652,-0.0404475343644907,7.207307384386331,1.5012740543644907,-3126.379467786729,1429.3199999997214
0.175,1.46392988,-0.0359533638795473,7.846187240656242,1.4998832438795473,-3321.7781845234895,1341.340000000187
0.18,1.46588432,-0.0312637946778672,8.25807586050082,1.4971481146778671,-1367.7910171566868,1248.260000000142
0.185,1.46685194,-0.0273558203431338,8.521080175345936,1.4942077603431339,1367.7910171568415,1150.9499999993955
0.19,1.46698317,-0.0236432447251371,8.685311408490605,1.4906264147251371,781.5948669466218,1056.0700000002025
