time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.0057016,-0.0552978368364776,9.999,0.0609994368364776,-1.7763568394002505e-11,31138.460000000065
0.005,0.02754889,-0.0552978368364776,10.09899,0.08284672683647759,3.0814879110195774e-27,24476.06000000004
0.01,0.06845792,-0.0552978368364776,10.0999899,0.1237557568364776,1.776356839400251e-11,-3765.87000000009
0.015,0.12493618,-0.0552978368364776,10.099999898999998,0.1802340168364776,3.081487911019578e-27,-24043.30000000006
0.02,0.19381378,-0.0552978368364776,10.09999999899,0.2491116168364776,195.39871673659462,-21471.989999999907
0.025,0.27225031,-0.0552978368364776,10.0999999999899,0.3275481468364776,2735.5820343133955,-19007.669999999955
0.03,0.35772588,-0.0552978368364776,6.5479894160172885,0.4130237168364776,4884.9679184168945,-16695.579999999907
0.035,0.44801929,-0.055102438119741,-9.933520105839824,0.503121728119741,-9.868017514236271e-11,-14524.15000000021
0.04,0.54118655,-0.0525622548021642,-10.098335201058395,0.5937488048021642,-4689.569201680108,-12485.030000000263
0.045,0.63554754,-0.0498266727678509,-10.099983352010582,0.6853742127678509,-3321.7781845232025,-10603.599999999595
0.05,0.72967164,-0.0470910907335375,-10.099999833520105,0.7767627307335374,-2344.7846008401834,-8888.2499999999
0.055,0.82235003,-0.0441601099824874,-10.0999999983352,0.8665101399824874,-781.5948669469035,-7316.320000000411
0.06,0.91257755,-0.0422061228151207,-10.099999999983352,0.9547836728151207,1367.7910171567846,-5879.349999999931
0.065,0.99953851,-0.0404475343644907,-10.099999999999833,1.0399860443644908,390.79743347360204,-4582.3299999995
0.07,1.08258796,-0.0386889459138607,-10.099999999999998,1.1212769059138605,195.3987167367011,-3424.5900000000584
0.075,1.16123363,-0.037321154896704,-10.099999999999998,1.198554784896704,1367.791017156402,-2411.510000000435
0.08,1.23512054,-0.0361487625962839,-10.099999999999998,1.271269302596284,-390.797433473394,-1540.0599999995356
0.085,1.3040108,-0.0345855728623906,-5.100499999999999,1.3385963728623904,-2149.3858841032115,-775.2699999997749
0.09,1.36776378,-0.0332177818452339,-5.050504999999999,1.400981561845234,-195.39871673660843,-92.42000000083863
0.095,1.42632996,-0.0326315856950239,-5.050005049999999,1.4589615456950238,1172.3923004200149,490.1199999998971
0.1,1.47974241,-0.0320453895448139,-5.0500000505,1.511787799544814,390.797433473213,958.7300000001087
0.105,1.52809869,-0.0316545921113405,-5.050000000504999,1.5597532821113405,195.39871673669734,1333.4499999999498
0.11,1.57154655,-0.0314591933946039,-5.050000000005049,1.603005743394604,7.992184691829607e-11,1635.430000000586
0.115,1.61027572,-0.0312637946778672,-5.05000000000005,1.641539514677867,195.39871673658965,1870.2300000000723
0.12,1.64450965,-0.0312637946778672,-5.05,1.6757734446778672,976.9935836834213,2042.0499999994881
0.125,1.67449648,-0.0314591933946039,-5.05,1.705955673394604,1.9042545318370685e-12,2159.0999999998166
0.13,1.70050194,-0.0312637946778672,-5.70772472567616,1.7317657346778672,-781.5948669468206,2229.220000000958
0.135,1.72280302,-0.0312637946778672,-0.4750566964184138,1.754066814677867,1953.9871673668179,2259.220000000225
0.14,1.74168252,-0.0314591933946039,3.2300634759425195,1.7731417133946037,5275.765351890232,2254.9099999985956
0.145,1.75742456,-0.0314591933946039,5.873648414384919,1.7888837533946038,4298.771768206598,2220.9699999999393
0.15,1.77031061,-0.0298960036607105,7.63800033831573,1.8002066136607104,-1758.5884506301086,2161.850000000846
0.155,1.78061601,-0.0267696241929238,8.741520355352895,1.8073856341929238,-7229.7525192565845,2081.7800000000334
0.16,1.78860718,-0.0222754537079804,9.416354480377208,1.8108826337079804,-3321.7781845232657,1985.6999999998907
0.165,1.79453922,-0.018953675523457,9.68877955908038,1.813492895523457,3126.379467786518,1880.16999999972
0.17,1.79865401,-0.0158272960556702,9.729344709282923,1.8144813060556702,390.7974334731325,1769.4499999995924
0.175,1.80117989,-0.0113331255707268,9.722445606695429,1.8125130155707267,-3517.176901260053,1652.740000000409
0.18,1.80233127,-0.0074251512359934,9.65698685207462,1.8097564212359933,-1367.7910171566755,1529.3800000006431
0.185,1.80230747,-0.00351717690126,9.57036362201688,1.80582464690126,2344.7846008401193,1404.0600000001273
0.19,1.8012917,-0.00058619615021,9.551766534375222,1.80187789615021,2149.3858841035144,1283.2799999998183
0.195,1.79945134,0.0031263794677867,9.564625009079997,1.7963249605322134,-1172.3923004199808,1167.8799999989956
0.2,1.79693936,0.0070343538025201,5.095146250090799,1.78990500619748,-976.9935836833417,1054.2599999996537
