time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.0060592,-0.039079743347334,9.999,0.045138943347334,0.0,33119.94000000003
0.005,0.02928032,-0.039079743347334,10.09899,0.068360063347334,195.39871673670115,26069.46000000002
0.01,0.07276477,-0.039079743347334,10.0999899,0.111844513347334,195.3987167367056,-3893.520000000077
0.015,0.13280919,-0.039079743347334,10.099999898999998,0.171888933347334,-586.1961502101074,-25439.000000000015
0.02,0.20606646,-0.0388843446305973,10.09999999899,0.24495080463059732,-586.1961502101118,-22762.339999999967
0.025,0.28953117,-0.0388843446305973,10.0999999999899,0.3284155146305973,586.1961502101077,-20203.620000000166
0.03,0.38052527,-0.039079743347334,-9.8980000000001,0.419605013347334,586.1961502101079,-17774.269999999797
0.035,0.47668392,-0.039079743347334,-10.09798,0.515763663347334,-195.3987167366921,-15488.67999999979
0.04,0.57593758,-0.039079743347334,-10.099979799999998,0.6150173233473339,-195.3987167367053,-13350.400000000316
0.045,0.67649317,-0.039079743347334,-10.099999798,0.715572913347334,-1.3322676295501882e-11,-11358.499999999982
0.05,0.77681471,-0.039079743347334,-5.100499997979999,0.815894453347334,1.332267629550188e-11,-9529.089999999927
0.055,0.87560852,-0.039079743347334,-5.0505049999798,0.914688263347334,4.440892098500621e-12,-7874.240000000172
0.06,0.97179816,-0.039079743347334,-5.050005049999798,1.010877903347334,-8.881784197001268e-12,-6380.969999999843
0.065,1.06450088,-0.039079743347334,-5.050000050499998,1.103580623347334,-4.440892098500674e-12,-5036.53999999985
0.07,1.15301369,-0.039079743347334,-5.050000000504999,1.192093433347334,-4.4408920985006544e-12,-3823.8500000001513
0.075,1.23678928,-0.039079743347334,-5.050000000005049,1.275869023347334,1.3322676295501878e-11,-2732.370000000039
0.08,1.31542476,-0.039079743347334,-5.05000000000005,1.354504503347334,0.0,-1791.3500000001695
0.085,1.38864987,-0.039079743347334,-5.05,1.427729613347334,-1.332267629550188e-11,-999.5599999999286
0.09,1.456299,-0.039079743347334,-5.05,1.495378743347334,195.3987167367182,-278.5599999995611
0.095,1.5182913,-0.039079743347334,-5.05,1.557371043347334,-1.084680771516497e-12,403.3200000000397
0.1,1.57463685,-0.039079743347334,-5.05,1.613716593347334,-586.1961502101307,977.4599999999737
0.105,1.62543501,-0.0388843446305973,-5.05,1.6643193546305972,1.2237995523985385e-11,1410.6699999996636
0.11,1.67084163,-0.039079743347334,-5.05,1.709921373347334,586.1961502101158,1737.3099999997612
0.115,1.71105846,-0.039079743347334,-5.05,1.750138203347334,-1.4407357067018375e-11,1987.2700000001714
0.12,1.74632401,-0.039079743347334,-5.05,1.785403753347334,-195.39871673669683,2191.699999999655
0.125,1.77689896,-0.039079743347334,-5.05,1.815978703347334,4.440892098500662e-12,2360.309999999992
0.13,1.80307126,-0.039079743347334,-4.977401192231339,1.842151003347334,586.1961502099956,2462.0700000008273
0.135,1.82514821,-0.039079743347334,1.551361569300415,1.864227953347334,4103.373051470117,2480.260000000064
0.14,1.84344369,-0.039079743347334,4.197257342411488,1.882523433347334,5666.5627853635115,2440.919999999058
0.145,1.85826828,-0.038493547197124,8.074992026189316,1.896761827197124,-1172.3923004200942,2398.139999999996
0.15,1.86992156,-0.0349763702958639,7.87052674017884,1.904897930295864,-5471.164068626904,2371.570000000569
0.155,1.87870009,-0.0316545921113405,9.660004334100194,1.9103546821113404,-2540.1833175766,2320.4300000000367
0.16,1.88490301,-0.0279420164933438,9.735326961167232,1.9128450264933436,1.3073986337985843e-10,2234.6000000001677
0.165,1.88881521,-0.0240340421586104,9.447402839352153,1.9128492521586105,1953.9871673666337,2138.699999999556
0.17,1.89070847,-0.0205168652573503,9.33367402174514,1.9112253352573503,195.39871673662913,2014.349999999733
0.175,1.89084824,-0.0156318973389336,10.073999367352007,1.9064801373389335,-2930.9807510500623,1856.8600000009128
0.18,1.88947664,-0.0107469294205168,9.899938825793347,1.9002235694205167,-1953.9871673668683,1710.5900000001539
0.185,1.88681353,-0.0062527589355734,9.65305918229859,1.8930662889355734,-1758.5884506301695,1592.319999999458
0.19,1.88306438,-0.0015631897338933,10.095530591822984,1.8846275697338932,-1367.791017156385,1482.3300000000459
0.195,1.87842167,0.0021493858841033,5.10045530591823,1.8762722841158967,2735.582034313719,1367.6499999996768
0.2,1.87306401,0.00527576535189,5.050504553059182,1.86778824464811,4689.569201679869,1242.819999999651
0.205,1.86715499,0.0082067461029401,5.050005045530591,1.85894824389706,-390.79743347351405,1102.8800000005472
0.21,1.86084318,0.0125055178711468,5.0500000504553055,1.8483376621288532,-3907.9743347332783,963.110000000143
0.215,1.85425631,0.0166088909226169,5.050000000504553,1.837647419077383,-586.196150209987,847.4899999998777
0.22,1.84750477,0.0197352703904036,5.050000000005045,1.8277694996095963,1953.9871673666266,748.2999999999145
0.225,1.84068874,0.0234478460084004,5.05000000000005,1.8172408939915996,2149.385884103428,643.6899999997075
0.23,1.83389627,0.0263788267594504,5.05,1.8075174432405496,-195.3987167366608,537.3099999999945
0.235,1.82720058,0.0306775985276572,5.05,1.7965229814723427,-3321.7781845235436,444.41000000034546
0.24,1.82066137,0.0345855728623906,5.05,1.7860757971376096,-1563.1897338934912,364.3300000004456
0.245,1.81432914,0.0381027497636507,5.05,1.776226390236349,1953.9871673667972,290.7999999999346
0.25,1.80824448,0.0410337305147007,5.05,1.7672107494852993,2735.5820343136093,223.63999999953398
0.255,1.80243875,0.0441601099824874,5.05,1.7582786400175128,976.9935836833204,159.50000000003524
0.26,1.7969364,0.0476772868837475,5.05,1.7492591131162527,-1563.1897338935028,98.8499999996875
0.265,1.79175305,0.0515852612184809,5.05,1.7401677887815192,-2149.385884103315,50.729999999816755
0.27,1.78689663,0.0554932355532143,5.05,1.7314033944467857,586.1961502100564,13.720000000886102
0.275,1.78237089,0.0588150137377377,5.05,1.7235558762622623,2149.385884103247,-23.54999999993629
0.28,1.7781759,0.0623321906389978,5.05,1.7158437093610022,586.1961502099722,-63.0500000005361
