time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00742996,-0.0273558203431338,9.999,0.0347857803431338,-8.881784197001252e-12,40657.9400000001
0.005,0.03590603,-0.0273558203431338,10.09899,0.0632618503431338,-4.440892098500627e-12,32038.440000000002
0.01,0.08923925,-0.0273558203431338,10.0999899,0.11659507034313381,8.881784197001254e-12,-4671.59000000012
0.015,0.16290144,-0.0273558203431338,10.099999898999998,0.1902572603431338,8.881784197001256e-12,-31079.880000000012
0.02,0.25280128,-0.0273558203431338,10.09999999899,0.2801571003431338,-195.3987167367056,-27786.599999999948
0.025,0.35526853,-0.0273558203431338,10.0999999999899,0.3826243503431338,-4.71206229137974e-12,-24643.40000000002
0.03,0.46703617,-0.0273558203431338,-9.8980000000001,0.49439199034313375,586.1961502101029,-21665.0899999998
0.035,0.5852207,-0.0275512190598705,-10.09798,0.6127719190598705,-5.423403857582366e-13,-18864.520000000077
0.04,0.70730052,-0.0273558203431338,-10.099979799999998,0.7346563403431338,-586.1961502101037,-16251.19000000037
0.045,0.83109286,-0.0273558203431338,-10.099999798,0.8584486803431338,-5.423403857582366e-13,-13830.779999999868
0.05,0.95472981,-0.0273558203431338,-5.100499997979999,0.9820856303431338,195.398716736701,-11605.179999999878
0.055,1.07663382,-0.0273558203431338,-5.0505049999798,1.103989640343134,-195.39871673670086,-9572.930000000093
0.06,1.19549326,-0.0273558203431338,-5.050005049999798,1.2228490803431338,-4.983232484258851e-12,-7730.249999999796
0.065,1.3102384,-0.0273558203431338,-5.050000050499998,1.337594220343134,586.1961502101069,-6071.709999999524
0.07,1.42001794,-0.0275512190598705,-5.050000000504999,1.4475691590598705,7.797103425484798e-12,-4590.41000000068
0.075,1.52417635,-0.0273558203431338,-5.050000000005049,1.551532170343134,-586.1961502101174,-3278.220000000216
0.08,1.62223214,-0.0273558203431338,-5.05000000000005,1.6495879603431338,-195.39871673670262,-2126.119999998671
0.085,1.71385726,-0.0273558203431338,-5.05,1.7412130803431338,195.39871673671377,-1124.3900000008362
0.09,1.79885764,-0.0273558203431338,-5.05,1.826213460343134,390.79743347338945,-262.75000000137516
0.095,1.87715501,-0.0275512190598705,-5.05,1.9047062290598706,-195.39871673670046,469.26000000096246
0.1,1.94877005,-0.0273558203431338,-5.05,1.976125870343134,1.4125589586910792e-11,1082.0800000004529
0.105,2.01380685,-0.0275512190598705,-5.05,2.0413580690598705,390.7974334733906,1586.279999999122
0.11,2.07243863,-0.0275512190598705,-5.05,2.0999898490598707,-390.7974334733998,1992.410000000291
0.115,2.12489486,-0.0273558203431338,-5.05,2.152250680343134,1.5205614545266144e-11,2310.3600000010047
0.12,2.17144966,-0.0275512190598705,-5.05,2.1990008790598705,195.39871673669347,2549.260000000155
0.125,2.21241145,-0.0273558203431338,-5.05,2.2397672703431337,-390.7974334734056,2718.0399999997644
0.13,2.2481135,-0.0273558203431338,-5.05,2.275469320343134,-195.39871673670072,2825.2799999998424
0.135,2.27890588,-0.0273558203431338,-5.05,2.306261700343134,586.1961502101032,2879.2199999994773
0.14,2.30514819,-0.0273558203431338,-2.8353393511380083,2.332504010343134,4494.170484943525,2888.009999999451
0.145,2.32720343,-0.0275512190598705,1.4112199100809653,2.3547546490598705,8206.746102939998,2858.630000000381
0.15,2.34543295,-0.0269650229096604,4.510654852583749,2.3723979729096607,3321.778184523293,2796.660000000529
0.155,2.36019211,-0.0234478460084004,6.736762672902278,2.3836399560084,-5080.36663515329,2707.689999999724
0.16,2.37182641,-0.0179766819397736,8.320160845661269,2.3898030919397737,-6643.556369046748,2597.340000000084
0.165,2.38066858,-0.0117239230042002,9.46659968556812,2.3923925030042,-6252.758935573559,2470.220000000416
0.17,2.38703626,-0.0054711640686267,10.09366599685568,2.3925074240686266,-4689.56920168008,2329.9399999995994
0.175,2.39123018,0.0009769935836833,10.099936659968556,2.3902531864163166,5861.961502100188,2180.509999999482
0.18,2.39353272,0.0042987717682067,10.099999366599684,2.3892339482317935,5080.366635153543,2026.719999999521
0.185,2.39420685,0.0099653345535701,10.099999993665996,2.3842415154464303,-9769.935836833425,1870.9900000010266
0.19,2.3934963,0.0171950870728269,10.099999999936658,2.376301212927173,-4689.569201680257,1713.6200000015815
0.195,2.39162531,0.0203214665406137,10.099999999999364,2.371303843459386,7425.1512359932985,1557.5699999985104
0.2,2.38879799,0.0234478460084004,10.099999999999993,2.3653501439916,2930.980751050116,1406.7299999984966
0.205,2.38519918,0.0273558203431338,10.099999999999998,2.357843359656866,-781.5948669466495,1261.860000001329
0.21,2.38099536,0.0304821998109205,5.100499999999999,2.3505131601890796,195.39871673663907,1122.7800000006089
0.215,2.37633519,0.0339993767121806,5.050504999999999,2.342335813287819,-195.3987167365737,990.4499999993254
0.22,2.37135027,0.0375165536134406,5.050005049999999,2.3338337163865597,3907.974334733414,865.9700000004002
0.225,2.36615612,0.0404475343644907,5.0500000505,2.325708585635509,5861.961502100014,750.2699999997725
0.23,2.36085317,0.0443555086992241,5.050000000504999,2.316497661300776,-4103.373051469996,643.5099999990266
0.235,2.35552794,0.0506082676347975,5.050000000005049,2.3049196723652026,-10942.328137253566,544.0900000007799
0.24,2.35025433,0.056861026570371,5.05000000000005,2.293393303429629,-2735.5820343136775,450.8700000008044
0.245,2.34509416,0.0603782034716311,5.05,2.284715956528369,4298.771768206704,365.3199999993714
0.25,2.34009784,0.0640907790896278,5.05,2.276007060910372,6643.55636904707,289.2599999995565
0.255,2.33530565,0.0670217598406778,5.05,2.268283890159322,8011.347386203604,222.69000000051005
0.26,2.33074902,0.0703435380252012,5.05,2.2604054819747987,-781.5948669468848,164.18000000015945
0.265,2.32645167,0.0771824931109847,5.05,2.2492691768890154,-7620.549952730212,112.29999999983397
0.27,2.32243056,0.0836306507632948,5.05,2.2387999092367052,-3126.3794677864907,66.95000000064351
0.275,2.3186964,0.0900788084156049,5.05,2.228617591584395,586.1961502099841,27.979999998996846
0.28,2.31525476,0.0963315673511784,5.05,2.218923192648822,586.1961502098117,-5.810000001240269
0.285,2.31210679,0.1025843262867518,5.05,2.2095224637132485,-195.3987167366123,-34.94999999816764
0.29,2.3092496,0.1090324839390619,5.05,2.200217116060938,-390.79743347333215,-59.34999999937668
0.295,2.30667703,0.1152852428746354,5.05,2.1913917871253643,390.7974334733478,-79.23000000118918
0.3,2.30438013,0.1215380018102088,5.05,2.182842128189791,390.7974334734373,-94.94999999986862
0.305,2.30234777,0.1277907607457823,5.05,2.1745570092542175,-1.5631940186722204e-11,-107.20000000048935
0.31,2.30056712,0.1342389183980924,5.05,2.1663282016019076,-1.4210854715202004e-10,-116.84000000002459
0.315,2.29902406,0.1404916773336659,5.05,2.158532382666334,-781.5948669467696,-123.71999999857007
0.32,2.29770337,0.1471352337027127,5.05,2.150568136297287,-390.7974334731346,-126.88000000025556
0.325,2.29658906,0.1533879926382861,5.05,2.143201067361714,-1953.9871673666166,-127.04000000098847
0.33,2.29566516,0.1594453528571229,5.05,2.136219807142877,-5666.562785363629,-126.53999999969267
0.335,2.29491589,0.1660889092261697,5.05,2.1288269807738303,1758.5884506300586,-125.9500000003269
0.34,2.29432545,0.1692152886939564,5.05,2.1251101613060435,10356.131987043726,-123.25000000032287
0.345,2.29387801,0.1729278643119531,5.05,2.1209501456880466,4103.373051470241,-117.47999999869643
0.35,2.29355829,0.1782036296638432,5.05,2.115354660336157,-3517.176901260171,-110.85000000008745
0.355,2.29335217,0.18426098988268,5.05,2.10909118011732,-3126.3794677870355,-104.88000000094632
0.36,2.2932462,0.1905137488182535,5.05,2.1027324511817467,-390.79743347333215,-98.29999999908506
0.365,2.29322752,0.1965711090370902,5.05,2.0966564109629098,-195.39871673625538,-90.62999999969162
0.37,2.2932843,0.2030192666894003,5.05,2.0902650333105997,-976.9935836831655,-83.1700000011891
0.375,2.29340576,0.2094674243417104,5.05,2.08393833565829,195.39871673629233,-76.4699999999151
0.38,2.29358196,0.2155247845605473,5.05,2.0780571754394526,781.5948669463772,-70.03999999966467
0.385,2.29380372,0.2219729422128574,5.05,2.0718307777871425,-390.79743347311756,-63.640000000191165
0.39,2.29406271,0.2282257011484308,5.05,2.065837008851569,-1367.7910171564608,-57.54999999936666
0.395,2.29435136,0.2348692575174776,5.05,2.059482102482522,-195.39871673657512,-52.239999999699066
0.4,2.29466291,0.2407312190195777,5.05,2.053931690980422,1953.987167366631,-47.33000000129519
0.405,2.29499113,0.2467885792384145,5.05,2.0482025507615855,1367.7910171563933,-41.62000000064842
