t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00015042],0.0,-0.04787268560048421,9.998999999999999
0.005,[0.00072751],0.005,-0.048068084317220885,10.098989999999999
0.01,[0.00181023],0.01,-0.04787268560048421,10.099989899999999
0.015,[0.0033097],0.015,-0.04787268560048421,10.099999898999998
0.02,[0.00514562],0.02,-0.048068084317220885,10.099999998989999
0.025,[0.00724482],0.025,-0.04787268560048421,3.30619556667406
0.03,[0.00954123],0.03,-0.04787268560048421,-9.965938044333258
0.035,[0.01197714],0.035,-0.04220612281512077,-10.098659380443332
0.04,[0.0145027],0.04,-0.039470540780807396,-10.099986593804433
0.045,[0.01707357],0.045,-0.035757965162810657,-10.099999865938043
0.05,[0.01965135],0.05,-0.031849990828077254,-10.09999999865938
0.055,[0.02220467],0.055,-0.027942016493343845,-10.099999999986592
0.06,[0.02470801],0.06,-0.02501103574229379,-10.099999999999865
0.065,[0.02714006],0.065,-0.022275453707980408,-10.099999999999998
0.07,[0.02948311],0.07,-0.019930669107140364,-10.099999999999998
0.075,[0.03172324],0.075,-0.017976681939773663,-10.099999999999998
0.08,[0.03385022],0.08,-0.01621809348914363,-5.100499999999999
0.085,[0.03585707],0.085,-0.014654903755250269,-6.446800853367624
0.09,[0.03773918],0.09,-0.013873308888303588,-4.834166182238649
0.095,[0.03949408],0.095,-0.013091714021356905,-3.4540952354479173
0.1,[0.04112148],0.1,-0.012505517871146895,-2.519950417535868
0.105,[0.04262264],0.105,-0.012310119154410226,-1.78316088665356
0.11,[0.04400015],0.11,-0.012114720437673556,-1.3408641892060937
0.115,[0.04525771],0.115,-0.012114720437673556,-0.8750616627380506
0.12,[0.04640006],0.12,-0.012114720437673556,-0.6434912498873455
0.125,[0.04743321],0.125,-0.012114720437673556,-0.24967366862582474
0.13,[0.0483636],0.13,-0.012114720437673556,-0.18811097269614926
0.135,[0.04919702],0.135,-0.012114720437673556,-0.10903121368039402
0.14,[0.04993928],0.14,-0.012114720437673556,-0.0820101284301841
0.145,[0.05059758],0.145,-0.012114720437673556,0.14135025602667772
0.15,[0.05117961],0.15,-0.012114720437673556,0.06968402960630107
0.155,[0.05169234],0.155,-0.011919321720936885,0.2265774604050774
0.16,[0.05214254],0.16,-0.011528524287463544,0.36614894232851003
0.165,[0.05253681],0.165,-0.010942328137253534,0.4441913705680581
0.17,[0.05288125],0.17,-0.009769935836833513,0.34341411074356915
0.17500000000000002,[0.05318122],0.17500000000000002,-0.008597543536413491,0.24250768782529067
0.18,[0.05344185],0.18,-0.006057360218836778,0.2795587526435803
0.185,[0.05366987],0.185,-0.0013677910171566918,0.4646474240283931
0.19,[0.0538722],0.19,0.0013677910171566918,0.5470474996585649
0.195,[0.05405386],0.195,0.005080366635153426,0.5649870399105262
0.2,[0.05421871],0.2,0.009769935836833513,0.6525335618248685
0.20500000000000002,[0.05437028],0.20500000000000002,0.014654903755250269,0.5501222362945783
0.21,[0.05451181],0.21,0.020321466540613703,0.3250882136402429
0.215,[0.05464618],0.215,0.02618342804271381,0.19303928773270818
0.22,[0.05477596],0.22,0.031459193394603915,0.1319375596309705
0.225,[0.05490434],0.225,0.03966593949754405,0.23282564970767655
0.23,[0.05503413],0.23,0.04298771768206745,0.14064642316208587
0.23500000000000001,[0.05516677],0.23500000000000001,0.050803666351534264,0.1697693113728212
0.24,[0.05530431],0.24,0.05686102657037104,0.2264830648191749
0.245,[0.05544882],0.245,0.06213679192226114,0.18730968176452525
0.25,[0.05560124],0.25,0.06878034829130793,0.06954978017924968
0.255,[0.05576266],0.255,0.07522850594361805,0.11778677705625439
0.26,[0.05593398],0.26,0.08128586616245481,0.03975837731803133
0.265,[0.05611668],0.265,0.08949261226539497,0.09270282262161728
0.27,[0.0563131],0.27,0.09437758018381173,0.12808077958422626
0.275,[0.05652419],0.275,0.09984874425243849,0.08405255829303251
0.28,[0.05674958],0.28,0.10531990832106528,0.02645974693591138
0.28500000000000003,[0.05698888],0.28500000000000003,0.11059567367295536,-0.01759981359749193
0.29,[0.05724165],0.29,0.11508984415789876,-0.1706653090757409
0.295,[0.05750745],0.295,0.11977941335957885,-0.25418075114402805
0.3,[0.05778573],0.3,0.12388278641104894,-0.30182670406989304
0.305,[0.05807593],0.305,0.12779076074578233,-0.3225896027460581
0.31,[0.05837753],0.31,0.13072174149683238,-0.3327103356951717
0.315,[0.05869009],0.315,0.13306652609767244,-0.33068327531447567
0.32,[0.05901431],0.32,0.13521591198177582,-0.24458733141962333
0.325,[0.05935169],0.325,0.1359975068487225,-0.22405091473762737
0.33,[0.05970201],0.33,0.1359975068487225,-0.23585162447525299
0.335,[0.06006277],0.335,0.1359975068487225,-0.3067252671117865
0.34,[0.06043134],0.34,0.13541131069851248,-0.3083758748436476
0.34500000000000003,[0.0608072],0.34500000000000003,0.13404351968135578,-0.33322123141367815
0.35000000000000003,[0.06119049],0.35000000000000003,0.13248032994746242,-0.336624829339521
0.355,[0.06157981],0.355,0.13091714021356907,-0.34100099477445744
0.36,[0.06197336],0.36,0.128572355612729,-0.2937913809571454
0.365,[0.06237026],0.365,0.1254459761449423,-0.2705230065568262
0.37,[0.06276984],0.37,0.12231959667715558,-0.2497817845477479
0.375,[0.06317106],0.375,0.1182162236256855,-0.21831897949552959
0.38,[0.06357391],0.38,0.11157266725663871,-0.16681390644019256
0.385,[0.06397906],0.385,0.1076646929219053,-0.1484296253671617
0.39,[0.06438523],0.39,0.10531990832106528,-0.14007878882645922
0.395,[0.0647906],0.395,0.0992625481022285,-0.09881490542358454
0.4,[0.06519391],0.4,0.0965269660679151,-0.08119223727817299
0.405,[0.06559391],0.405,0.09027420713234166,-0.03856681790846557
0.41000000000000003,[0.06599085],0.41000000000000003,0.08636623279760824,-0.02094151298025348
0.41500000000000004,[0.06638504],0.41500000000000004,0.0814812648791915,0.0031946885670289487
0.42,[0.06677577],0.42,0.07855028412814144,0.016654861369977465
0.425,[0.06716235],0.425,0.07483770851014471,0.03542100280549364
0.43,[0.06754427],0.43,0.07151593032562131,0.05236489654773355
0.435,[0.06792127],0.435,0.06819415214109792,0.06930061789622845
0.44,[0.06829324],0.44,0.0656539688235212,0.08215561200993116
0.445,[0.06866022],0.445,0.06291838678920783,0.09542460327341792
0.45,[0.06902241],0.45,0.06115979833857779,0.10403652733196263
0.455,[0.06938012],0.455,0.05959660860468442,0.11197062160725839
0.46,[0.06973378],0.46,0.05822881758752774,0.11899554975637652
0.465,[0.07008395],0.465,0.05725182400384438,0.1241667871597394
0.47000000000000003,[0.07043114],0.47000000000000003,0.056665627853634375,0.12600751439361016
0.47500000000000003,[0.07077597],0.47500000000000003,0.05607943170342436,0.1311096251632198
0.48,[0.07111939],0.48,0.05607943170342436,0.1309470690590566
0.485,[0.0714624],0.485,0.05588403298668769,0.13158549093788863
0.49,[0.07180662],0.49,0.056470229136897705,0.13735028531933607
0.495,[0.07215358],0.495,0.056665627853634375,0.1266061713583988
0.5,[0.07250324],0.5,0.05725182400384438,0.12669809042296037
0.505,[0.07285569],0.505,0.0578380201540544,0.12441531545270917
0.51,[0.07321167],0.51,0.058815013737737745,0.12166891681980377
0.515,[0.07357188],0.515,0.059987406038157755,0.11764047506463227
0.52,[0.0739371],0.52,0.06115979833857779,0.11356777409500049
0.525,[0.07430799],0.525,0.06233219063899781,0.10896450792151953
0.53,[0.07468512],0.53,0.06350458293941783,0.10567937015571265
0.535,[0.07506914],0.535,0.06526317139004786,0.09866883825352327
0.54,[0.07546055],0.54,0.06702175984067789,0.09146043865889684
0.545,[0.07585967],0.545,0.06878034829130793,0.08363763471171451
0.55,[0.07626672],0.55,0.07073433545867464,0.07655513837201235
