t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00488003],0.0,-0.04787268560048421,9.998999999999999
0.005,[0.0235848],0.005,-0.048068084317220885,10.098989999999999
0.01,[0.05862262],0.01,-0.048068084317220885,10.099989899999999
0.015,[0.10702518],0.015,-0.04826348303395755,10.099999898999998
0.02,[0.16610912],0.02,-0.04826348303395755,10.099999998989999
0.025,[0.23346679],0.025,-0.048458881750694224,10.0999999999899
0.03,[0.30695491],0.03,-0.048458881750694224,-9.8980000000001
0.035,[0.38468256],0.035,-0.04865428046743089,-10.09798
0.04,[0.46499569],0.04,-0.04865428046743089,-10.099979799999998
0.045,[0.54646094],0.045,-0.04865428046743089,-10.099999797999999
0.05,[0.62785219],0.05,-0.04884967918416756,-5.100499997979999
0.055,[0.70813352],0.055,-0.04884967918416756,-5.0505049999797995
0.06,[0.78644221],0.06,-0.04884967918416756,-5.050005049999798
0.065,[0.86207425],0.065,-0.049045077900904226,-5.050000050499998
0.07,[0.93446893],0.07,-0.049045077900904226,-5.050000000504999
0.075,[1.00319502],0.075,-0.0492404766176409,-5.050000000005049
0.08,[1.06793633],0.08,-0.04943587533437757,-5.05000000000005
0.085,[1.12847701],0.085,-0.04943587533437757,-5.05
0.09,[1.18468889],0.09,-0.04963127405111425,-5.05
0.095,[1.23651866],0.095,-0.04963127405111425,-5.05
0.1,[1.28397703],0.1,-0.0498266727678509,-5.05
0.105,[1.32712961],0.105,-0.0498266727678509,-5.05
0.11,[1.36608851],0.11,-0.0498266727678509,-5.05
0.115,[1.40100371],0.115,-0.05002207148458758,-5.05
0.12,[1.43205345],0.12,-0.05002207148458758,-5.05
0.125,[1.45943753],0.125,-0.050217470201324256,-5.05
0.13,[1.48337232],0.13,-0.050217470201324256,-5.721527377562798
0.135,[1.50408539],0.135,-0.050412868918060925,-2.511820438303984
0.14,[1.52181084],0.14,-0.050412868918060925,0.2799300659927087
0.145,[1.53678613],0.145,-0.050608267634797595,2.429552325036367
0.15,[1.54924844],0.15,-0.050412868918060925,4.218345029905923
0.155,[1.55943002],0.155,-0.04963127405111425,5.218937231631758
0.16,[1.56755596],0.16,-0.04709109073353753,6.1816159093852745
0.165,[1.57384401],0.165,-0.04298771768206745,6.805079643149679
0.17,[1.57850293],0.17,-0.03868894591386071,7.218338976968862
0.17500000000000002,[1.58173036],0.17500000000000002,-0.0347809715791273,7.4929873396686055
0.18,[1.58371119],0.18,-0.03106839596113057,7.6678318310757065
0.185,[1.58461797],0.185,-0.026769624192923825,7.982941960882945
0.19,[1.58461146],0.19,-0.02305704857492709,7.952846135614561
0.195,[1.58383868],0.195,-0.019539871673667025,7.960827566891661
0.2,[1.58243401],0.2,-0.015436498622196948,7.980791754482573
0.20500000000000002,[1.58052028],0.20500000000000002,-0.010746929420516863,8.171973735171756
0.21,[1.57820816],0.21,-0.007034353802520129,8.104865453251596
0.215,[1.57559657],0.215,-0.002344784600840043,8.234193514223245
0.22,[1.57277331],0.22,0.0015631897338933619,5.081841935142232
0.225,[1.56981559],0.225,0.006057360218836778,5.050318419351422
0.23,[1.56678959],0.23,0.009379138403360172,5.050003184193514
0.23500000000000001,[1.56375134],0.23500000000000001,0.014068707605040257,5.050000031841934
0.24,[1.5607496],0.24,0.018562878089983675,5.050000000318419
0.245,[1.55782757],0.245,0.023447846008400428,5.050000000003184
0.25,[1.55502214],0.25,0.027551219059870506,5.050000000000031
0.255,[1.5523621],0.255,0.03126379467786724,5.05
0.26,[1.54986893],0.26,0.03497637029586397,5.05
0.265,[1.54755755],0.265,0.03907974334733405,5.05
0.27,[1.5454371],0.27,0.04396471126575081,5.05
0.275,[1.54351412],0.275,0.04865428046743089,5.05
0.28,[1.54179282],0.28,0.054320843252794335,5.05
0.28500000000000003,[1.54027536],0.28500000000000003,0.05959660860468442,5.05
0.29,[1.53896438],0.29,0.06643556369046788,5.05
0.295,[1.53786161],0.295,0.07151593032562131,5.05
0.3,[1.53696207],0.3,0.07522850594361805,5.05
0.305,[1.53625408],0.305,0.07972267642856146,5.05
0.31,[1.53572617],0.31,0.08460764434697822,5.05
0.315,[1.53536733],0.315,0.08871101739844828,5.05
0.32,[1.5351637],0.32,0.09359598531686505,6.956793581085764
0.325,[1.53510139],0.325,0.09769935836833513,6.948846443236337
0.33,[1.53516672],0.33,0.1010211365528585,6.889760842685683
0.335,[1.53534529],0.335,0.10590610447127527,6.839144605198003
0.34,[1.53562434],0.34,0.11000947752274534,6.897340948507729
0.34500000000000003,[1.53599266],0.34500000000000003,0.11372205314074207,6.944799955177948
0.35000000000000003,[1.53643943],0.35000000000000003,0.11743462875873882,6.9793409367966674
0.355,[1.53695435],0.355,0.12134260309347221,7.0280967603795546
0.36,[1.53752772],0.36,0.12583677357841566,7.042331383303389
0.365,[1.53815043],0.365,0.12935395047967568,7.045513408949842
0.37,[1.53881497],0.37,0.13423891839809246,7.05190223847393
0.375,[1.53951529],0.375,0.1391238863165092,7.03210131245012
0.38,[1.5402449],0.38,0.14342265808471594,7.01175581849651
0.385,[1.54099705],0.385,0.14674443626923936,6.997350268778028
0.39,[1.5417658],0.39,0.15065241060397278,6.980746471392835
0.395,[1.54254596],0.395,0.15456038493870616,6.964709547139593
0.4,[1.54333309],0.4,0.15768676440649287,6.953028054905062
0.405,[1.54412347],0.405,0.16237633360817297,6.9341058410718315
