t_qd,qd_rad,t_q,q_rad
0.0,0.007125644972239623,0.0,-0.052953052235637635
0.005,0.03443605973517824,0.005,-0.052953052235637635
0.01,0.08558754299171423,0.01,-0.05275765351890097
0.015,0.15623753278674032,0.015,-0.05236685608542762
0.02,0.24246116292118855,0.02,-0.05158526121848094
0.025,0.34073767030905644,0.025,-0.050217470201324256
0.03,0.44793364774519984,0.03,-0.04748188816701086
0.035,0.5612838112132286,0.035,-0.04494170484943416
0.04,0.6783699438651879,0.04,-0.04161992666491077
0.045,0.7970987144989355,0.045,-0.03732115489670401
0.05,0.9156787011159949,0.05,-0.03341318056197061
0.055,1.0325969557419814,0.055,-0.03028680109418389
0.06,1.146595630069565,0.06,-0.02501103574229379
0.065,1.2566489059195467,0.065,-0.0216892575577704
0.07,1.361940405107907,0.07,-0.017976681939773663
0.075,1.461841485764986,0.075,-0.014264106321776927
0.08,1.5558904049707512,0.08,-0.011137726853990204
0.085,1.6437724924155972,0.085,-0.0072297525192568
0.09,1.7253015694494651,0.09,-0.003907974334733405
0.095,1.8004025407666804,0.095,0.00039079743347334047
0.1,1.8690952812256671,0.1,0.0042987717682067455
0.105,1.9314796559866763,0.105,0.00820674610294015
0.11,1.987721853695673,0.11,0.011528524287463544
0.115,2.0380420433759268,0.115,0.01582729605567029
0.12,2.082703076645329,0.12,0.018953675523457014
0.125,2.122000306744719,0.125,0.022275453707980408
0.13,2.1562529031543702,0.13,0.026965022909660494
0.135,2.185796552727484,0.135,0.030677598527657227
0.14,2.2109762665750288,0.14,0.034390174145653964
0.145,2.2321399208712926,0.145,0.03790735104691403
0.15,2.2496337814119385,0.15,0.04122912923143742
0.155,2.263798483487064,0.155,0.044746306132697485
0.16,2.2749650929098215,0.16,0.04787268560048421
0.165,2.283452461902367,0.165,0.052562254802164296
0.17,2.289565317343481,0.17,0.05686102657037104
0.17500000000000002,2.2935921862107818,0.17500000000000002,0.059987406038157755
0.18,2.295803782379845,0.18,0.06330918422268116
0.185,2.2964524105979014,0.185,0.06624016497373121
0.19,2.295771931807007,0.19,0.07053893674193797
0.195,2.2939773442240075,0.195,0.0742515123599347
0.2,2.291264498161731,0.2,0.07737789182772142
