t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00747378],0.0,-0.0492404766176409,9.998999999999999
0.005,[0.03611875],0.005,-0.0492404766176409,10.098989999999999
0.01,[0.08977086],0.01,-0.0492404766176409,10.099989899999999
0.015,[0.16387678],0.015,-0.0492404766176409,10.099999898999998
0.02,[0.25432105],0.02,-0.0492404766176409,10.099999998989999
0.025,[0.35741203],0.025,-0.0492404766176409,10.0999999999899
0.03,[0.46986433],0.03,-0.0492404766176409,10.099999999999898
0.035,[0.58877864],0.035,-0.0492404766176409,10.099999999999998
0.04,[0.71161996],0.04,-0.0492404766176409,10.099999999999998
0.045,[0.83619338],0.045,-0.0492404766176409,10.099999999999998
0.05,[0.96061979],0.05,-0.0492404766176409,5.100499999999999
0.055,[1.083312],0.055,-0.0492404766176409,5.050504999999999
0.06,[1.20295026],0.06,-0.04591869843311751,5.050005049999999
0.065,[1.3184583],0.065,-0.04318311639880412,6.052677195396969
0.07,[1.42897945],0.07,-0.03966593949754405,5.529310724558343
0.075,[1.53385339],0.075,-0.036148762596283995,5.711340525105011
0.08,[1.63259461],0.08,-0.03263158569502393,6.359824598265463
0.085,[1.72487219],0.085,-0.028137415210080514,7.269247948366976
0.09,[1.81049048],0.09,-0.02305704857492709,8.342724155096088
0.095,[1.88937048],0.095,-0.019149074240193686,9.52347261157633
0.1,[1.96153245],0.1,-0.015241099905460279,10.094234726115761
0.105,[2.02708007],0.105,-0.011528524287463544,10.099942347261157
0.11,[2.08618671],0.11,-0.007034353802520129,10.09999942347261
0.115,[2.13908261],0.115,-0.004103373051470075,10.099999994234725
0.12,[2.18604271],0.12,-0.00019539871673667023,10.099999999942346
0.125,[2.22737642],0.125,0.004103373051470075,10.099999999999422
0.13,[2.26341844],0.13,0.008597543536413491,10.099999999999993
0.135,[2.29452038],0.135,0.012310119154410226,5.100499999999999
0.14,[2.32104355],0.14,0.0164134922058803,5.050504999999999
0.145,[2.34335281],0.145,0.020321466540613703,5.050005049999999
0.15,[2.3618113],0.15,0.025206434459030463,5.0500000505
0.155,[2.37677596],0.155,0.02911440879376387,5.050000000504999
0.16,[2.38859413],0.16,0.03341318056197061,5.050000000005049
0.165,[2.39760068],0.165,0.03868894591386071,5.05000000000005
0.17,[2.40411483],0.17,0.04161992666491077,5.05
0.17500000000000002,[2.40843796],0.17500000000000002,0.04611409714985418,5.05
0.18,[2.41085375],0.18,0.050217470201324256,5.05
0.185,[2.41162722],0.185,0.05373464710258431,5.05
0.19,[2.41100353],0.19,0.05822881758752774,5.05
0.195,[2.40920833],0.195,0.06213679192226114,5.05
0.2,[2.40644762],0.2,0.06604476625699454,5.05
0.20500000000000002,[2.40290787],0.20500000000000002,0.07034353802520128,5.05
0.21,[2.39875669],0.21,0.07346991749298801,5.05
0.215,[2.39414351],0.215,0.07757329054445808,5.05
0.22,[2.38920109],0.22,0.08284905589634818,5.05
0.225,[2.38404662],0.225,0.08695242894781824,5.05
0.23,[2.37878173],0.23,0.09046960584907832,5.05
0.23500000000000001,[2.37349314],0.23500000000000001,0.0945729789005484,5.05
0.24,[2.3682545],0.24,0.09945794681896515,5.05
0.245,[2.36312745],0.245,0.1023889275700152,5.05
0.25,[2.35816245],0.25,0.10649230062148528,5.05
0.255,[2.3534003],0.255,0.11059567367295536,5.05
0.26,[2.34887328],0.26,0.11528524287463544,5.05
0.265,[2.34460583],0.265,0.11938861592610552,5.05
0.27,[2.34061526],0.27,0.12485977999473229,5.05
0.275,[2.3369124],0.275,0.12779076074578233,5.05
0.28,[2.33350229],0.28,0.1315033363637791,5.05
0.28500000000000003,[2.33038535],0.28500000000000003,0.13560670941524913,5.05
0.29,[2.32755834],0.29,0.1399054811834559,5.05
0.295,[2.32501476],0.295,0.1443996516683993,5.05
0.3,[2.32274543],0.3,0.14811222728639603,5.05
0.305,[2.32073905],0.305,0.1522156003378661,5.05
