t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00599452],0.0,-0.05920581117121108,9.998999999999999
0.005,[0.02897094],0.005,-0.05920581117121108,10.098989999999999
0.01,[0.07200814],0.01,-0.05920581117121108,10.099989899999999
0.015,[0.13145541],0.015,-0.05920581117121108,10.099999898999998
0.02,[0.20401241],0.02,-0.05920581117121108,10.099999998989999
0.025,[0.28671776],0.025,-0.05920581117121108,10.0999999999899
0.03,[0.37693583],0.03,-0.05920581117121108,10.099999999999898
0.035,[0.47234287],0.035,-0.05920581117121108,10.099999999999998
0.04,[0.57090757],0.04,-0.05920581117121108,10.099999999999998
0.045,[0.67086994],0.045,-0.05901041245447442,10.099999999999998
0.05,[0.7707229],0.05,-0.05920581117121108,5.100499999999999
0.055,[0.8691936],0.055,-0.05920581117121108,5.050504999999999
0.06,[0.9652248],0.06,-0.05744722272058106,5.050005049999999
0.065,[1.05795425],0.065,-0.05510243811974101,5.0500000505
0.07,[1.14669605],0.07,-0.0511944637850076,5.756201407128793
0.075,[1.23092606],0.075,-0.046895692016800855,4.605716923337907
0.08,[1.31026007],0.08,-0.04357391383227746,4.129133094227922
0.085,[1.38443173],0.085,-0.04044753436449074,4.721981401613944
0.09,[1.45328002],0.09,-0.03712575617996735,4.721576186277248
0.095,[1.51674119],0.095,-0.034194775428917294,5.0492989712196215
0.1,[1.57483657],0.1,-0.03028680109418389,5.483799131508994
0.105,[1.62765667],0.105,-0.027160421626397167,5.981461070906273
0.11,[1.67534787],0.11,-0.023252447291663758,6.487387910520854
0.115,[1.7181021],0.115,-0.019149074240193686,6.985136298678762
0.12,[1.75614735],0.12,-0.016022694772406962,7.476121019919805
0.125,[1.78973929],0.125,-0.012310119154410226,7.9289243905693
0.13,[1.819157],0.13,-0.00840214481967682,8.439976561104269
0.135,[1.84469609],0.135,-0.004494170484943416,8.798336556034162
0.14,[1.86665971],0.14,0.00019539871673667023,9.253760049917487
0.145,[1.88535334],0.145,0.0042987717682067455,9.501002493030967
0.15,[1.90108021],0.15,0.00879294225315016,9.91254723528039
0.155,[1.91413301],0.155,0.011919321720936885,9.856450537719658
0.16,[1.9247911],0.16,0.016022694772406962,10.097564505377195
0.165,[1.93332761],0.165,0.020321466540613703,10.099975645053771
0.17,[1.94000184],0.17,0.02383864344187377,5.100499756450537
0.17500000000000002,[1.9450435],0.17500000000000002,0.026965022909660494,5.050504997564505
0.18,[1.94865864],0.18,0.030872997244393897,5.050005049975645
0.185,[1.95104987],0.185,0.033999376712180625,5.050000050499756
0.19,[1.95240927],0.19,0.03790735104691403,5.050000000504997
0.195,[1.95290289],0.195,0.04220612281512077,5.050000000005049
0.2,[1.9526823],0.2,0.04591869843311751,5.05000000000005
0.20500000000000002,[1.95189447],0.20500000000000002,0.05002207148458758,5.05
0.21,[1.95067084],0.21,0.05353924838584765,5.05
0.215,[1.94911837],0.215,0.05764262143731772,5.05
