raw_bicep_emg,raw_tricep_emg,bandpassed_bicep,bandpassed_tricep,rms_bicep,rms_tricep,lowpassed_rms_bicep,lowpassed_rms_tricep,bicep_activation,tricep_activation,net_activation,filtered_net_activation
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
