t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm
0.0055844783782958984,-0.052953052235637635,[0.00194501],0.005,0.1,0.0,9.998999999999999,0
0.017113208770751953,-0.052953052235637635,[0.00940773],0.005,0.1,0.0,10.098989999999999,0
0.02911210060119629,-0.052953052235637635,[0.02340944],0.005,0.1,0.0,10.099989899999999,0
0.03841447830200195,-0.052953052235637635,[0.04278732],0.005,0.1,0.0,10.099999898999998,0
0.047115325927734375,-0.052953052235637635,[0.06647763],0.005,0.1,0.0,10.099999998989999,0
0.058019399642944336,-0.052953052235637635,[0.09352536],0.005,0.1,0.0,7.300009007678728,0
0.07007551193237305,-0.052953052235637635,[0.12309138],0.005,0.1,0.0,4.316111280080808,0
0.07899308204650879,-0.05099906506827094,[0.15443354],0.005,0.1,0.552076719357362,2.4459571827078226,0
0.08869099617004395,-0.0472864894502742,[0.18689239],0.005,0.1,3.1026711627883743,1.4634017574280076,0
0.09801554679870605,-0.04357391383227746,[0.21989562],0.005,0.1,5.0,0.903509526998412,0
0.1090545654296875,-0.03927514206407072,[0.25295769],0.005,0.1,5.0,0.6207985990028402,0
0.11781668663024902,-0.035953363879547326,[0.28566684],0.005,0.1,5.0,0.37882915715301724,0
0.12771010398864746,-0.03165459211134058,[0.31767326],0.005,0.1,5.0,0.271576839980501,0
0.13700246810913086,-0.027942016493343845,[0.34868965],0.005,0.1,5.0,0.21039203078280128,0
0.14496517181396484,-0.024815637025557124,[0.37848548],0.005,0.1,5.0,0.15847921502516002,0
0.15482139587402344,-0.020516865257350376,[0.40687848],0.005,0.1,5.0,0.1492769911947272,0
0.1640164852142334,-0.01680428963935364,[0.43373716],0.005,0.1,5.0,0.16376408304796244,0
0.17289996147155762,-0.013287112738093578,[0.45897221],0.005,0.1,4.809911947405752,0.14978383038820478,0
0.18196725845336914,-0.009769935836833513,[0.48252156],0.005,0.1,3.021236974525059,0.1480386549094785,0
0.19006919860839844,-0.006643556369046789,[0.50435406],0.005,0.1,0.4693336951077898,0.17260341691352965,0
0.1980278491973877,-0.0035171769012600643,[0.52447],0.005,0.1,-2.1251378399449394,0.17350946162983302,0
0.20701336860656738,0.0,[0.54288939],0.005,0.1,-3.9388267478942494,0.1872427604383833,0
0.21906232833862305,0.005080366635153426,[0.55965312],0.005,0.1,-5.0,0.20863833071279383,0
0.22965717315673828,0.009379138403360172,[0.57482146],0.005,0.1,-5.0,0.21637392724429527,0
0.23782968521118164,0.012700916587883566,[0.58846153],0.005,0.1,-5.0,0.21563200323632017,0
0.2470078468322754,0.016022694772406962,[0.60064544],0.005,0.1,-5.0,0.22630492221826692,0
0.25646138191223145,0.019930669107140364,[0.61145511],0.005,0.1,-5.0,0.23472703369261275,0
0.26476073265075684,0.0236432447251371,[0.62097751],0.005,0.1,-5.0,0.23377750736383807,0
0.2749950885772705,0.027942016493343845,[0.62930061],0.005,0.1,-5.0,0.24061280402711077,0
0.28403162956237793,0.03165459211134058,[0.63651631],0.005,0.1,-5.0,0.24630529518566302,0
0.29410552978515625,0.035757965162810657,[0.64271865],0.005,0.1,-5.0,0.2497841104141538,0
0.30373549461364746,0.039470540780807396,[0.6480001],0.005,0.1,-5.0,0.25229244681486773,0
0.3150601387023926,0.04435550869922414,[0.6524507],0.005,0.1,-4.988576141743809,0.25206330169194247,0
0.3269507884979248,0.049045077900904226,[0.6561592],0.005,0.1,-4.809437685991954,0.25980858680516095,0
0.3361961841583252,0.05236685608542762,[0.65921212],0.005,0.1,-4.552618184207505,0.25656743654831626,0
0.34484148025512695,0.05607943170342436,[0.66168701],0.005,0.1,-4.2649496727291085,0.24514596621236096,0
0.358473539352417,0.061550595772051124,[0.6636548],0.005,0.1,-3.970825401237383,0.24960093365021613,0
0.3689732551574707,0.06584936754025787,[0.66518582],0.005,0.1,-3.6828560817899345,0.2444057246413629,0
0.3795137405395508,0.07034353802520128,[0.66634513],0.005,0.1,-3.407388554614342,0.23913173995966786,0
0.3880937099456787,0.07405611364319802,[0.66719057],0.005,0.1,-3.1473967720582214,0.2349115272749257,0
0.3972151279449463,0.07757329054445808,[0.6677752],0.005,0.1,-2.9040178566905115,0.23117561690985697,0
0.4080076217651367,0.08187206231266483,[0.66814749],0.005,0.1,-2.401343704518422,0.22683893428526983,0
0.42047739028930664,0.0867570302310816,[0.66835373],0.005,0.1,-2.433945169911114,0.23157600547912285,0
0.4300563335418701,0.09125120071602501,[0.66843793],0.005,0.1,-2.327465404017513,0.22528821564466361,0
0.43857765197753906,0.0945729789005484,[0.66843518],0.005,0.1,-1.8924646926425694,0.2118829345384043,0
0.44649815559387207,0.09730856093486177,[0.66837246],0.005,0.1,-1.6876591553509188,0.21147389125701319,0
0.45430445671081543,0.10043494040264851,[0.66827372],0.005,0.1,-1.5756376063351665,0.20189309758052387,0
0.46295857429504395,0.1037567185871719,[0.66816003],0.005,0.1,-1.7719073042599156,0.20263621489194059,0
0.47429561614990234,0.10864168650558867,[0.66805479],0.005,0.1,-1.7328542937640345,0.21300738833037902,0
0.4835169315338135,0.11235426212358537,[0.66798054],0.005,0.1,-1.32861483194714,0.1979649477219013,0
