t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm
0.005085945129394531,0.0,[0.0006439],0.005,0.1,0.0,-8.497046659549016,0.0
0.014126777648925781,0.0,[0.00311842],0.005,0.1,0.0,-3.3188446482442586,0.0
0.0244140625,0.0,[0.00777262],0.005,0.1,0.0,-1.4124736369081676,0.0
0.033966779708862305,0.0,[0.01423581],0.005,0.1,0.0,-0.6902571125288157,0.0
0.042398691177368164,0.0,[0.02217059],0.005,0.1,0.0,-0.3836627037793998,0.0
0.05136275291442871,0.0,[0.03127211],0.005,0.1,0.0,-0.23441441457132034,0.0
0.0614323616027832,0.0,[0.04127291],0.005,0.1,0.0,-0.17401262039573762,0.0
0.06936311721801758,0.0,[0.05193466],0.005,0.1,0.0,-0.20971416378674296,0.0
0.08137655258178711,0.0,[0.0630463],0.005,0.1,0.0,-0.18576595594181114,0.0
0.09066534042358398,0.0,[0.07443966],0.005,0.1,0.0,-0.14497853123227752,0.0
0.09937787055969238,0.0,[0.0859681],0.005,0.1,0.0,-0.09834879135481053,0.0
0.10778641700744629,0.0,[0.09748843],0.005,0.1,0.0,-0.069787227914959,0.0
0.11792159080505371,0.0,[0.10887907],0.005,0.1,0.0,-0.06791021287738194,0.0
0.12637710571289062,0.0,[0.12004379],0.005,0.1,0.0,-0.05133292944798346,0.0
0.13435578346252441,0.0,[0.13089353],0.005,0.1,0.0,-0.056005127863868964,0.0
0.1433579921722412,0.0,[0.14134658],0.005,0.1,0.0,-0.04468181076235538,0.0
0.15262818336486816,0.0,[0.15134912],0.005,0.1,0.0,-0.05262419014671687,0.0
0.16204524040222168,0.0,[0.16087658],0.005,0.1,0.0,-0.059753921273019435,0.0
0.17035198211669922,0.0,[0.16990919],0.005,0.1,0.0,-0.06362323764148618,0.0
0.18139123916625977,0.0,[0.17842648],0.005,0.1,0.0,-0.06996970660939261,0.0
0.19068455696105957,0.0,[0.18642792],0.005,0.1,0.0,-0.07554722358481993,0.0
0.1983780860900879,0.0,[0.19391969],0.005,0.1,0.0,-0.07914312761350631,0.0
0.20722150802612305,0.0,[0.20089863],0.005,0.1,0.0,-0.06301596094362952,0.0
0.21929264068603516,0.0,[0.20737958],0.005,0.1,0.0,-0.09942178834298593,0.0
0.22844624519348145,0.0,[0.2133976],0.005,0.1,0.0,-0.07782223150028521,0.0
0.23736143112182617,0.0,[0.21897828],0.005,0.1,0.0,-0.064787033656459,0.0
0.24770188331604004,0.0,[0.22414448],0.005,0.1,0.0,-0.08115320212613715,0.0
0.2564730644226074,0.0,[0.22893299],0.005,0.1,0.0,-0.09731379969835345,0.0
0.265362024307251,0.0,[0.23338083],0.005,0.1,0.0,-0.08112791958144043,0.0
0.2775704860687256,0.0,[0.23751935],0.005,0.1,0.0,-0.10258323905158541,0.0
0.2873575687408447,0.0,[0.24138692],0.005,0.1,0.0,-0.12401526312669342,0.0
0.2954592704772949,0.0,[0.24502086],0.005,0.1,0.0,-0.1031233287800184,0.0
0.3043339252471924,0.0,[0.24844384],0.005,0.1,0.0,-0.09070118611261524,0.0
0.3135104179382324,0.0,[0.25167926],0.005,0.1,0.0,-0.12392649929219189,0.0
0.32312655448913574,0.0,[0.25476514],0.005,0.1,0.0,-0.1568451415100981,0.0
0.3316338062286377,0.0,[0.25772926],0.005,0.1,0.0,-0.15937893940686312,0.0
0.3400132656097412,0.0,[0.260575],0.005,0.1,0.0,-0.1338328572057617,0.0
0.3493509292602539,0.0,[0.26330747],0.005,0.1,0.0,-0.11862879642698232,0.0
0.3593409061431885,0.0,[0.26594925],0.005,0.1,0.0,-0.16530398379026212,0.0
0.3690347671508789,0.0,[0.26852989],0.005,0.1,0.0,-0.14398008318981778,0.0
0.37875986099243164,0.0,[0.27107676],0.005,0.1,0.0,-0.19623195552223463,0.0
0.3884596824645996,0.0,[0.27361501],0.005,0.1,0.0,-0.16878448841835714,0.0
0.39835262298583984,0.0,[0.27615815],0.005,0.1,0.0,-0.15196640290425678,0.0
0.40732908248901367,0.0,[0.27870945],0.005,0.1,0.0,-0.14229664609013806,0.0
0.4182758331298828,0.0,[0.28129184],0.005,0.1,0.0,-0.3075476417331201,0.0
0.4274101257324219,0.0,[0.2839449],0.005,0.1,0.0,-0.25066630259225214,0.0
0.4363434314727783,0.0,[0.28668275],0.005,0.1,0.0,-0.21505971585062844,0.0
0.44665980339050293,0.0,[0.28950784],0.005,0.1,0.0,-0.2902812887313253,0.0
0.4555346965789795,0.0,[0.29243205],0.005,0.1,0.0,-0.24608453664842453,0.0
0.4643106460571289,0.0,[0.29545442],0.005,0.1,0.0,-0.2180318975026934,0.0
0.4746284484863281,0.0,[0.29856293],0.005,0.1,0.0,-0.20111239280616122,0.0
0.4873387813568115,0.0,[0.3017682],0.005,0.1,0.0,-0.41987320394504773,0.0
0.4965403079986572,0.0,[0.30509984],0.005,0.1,0.0,-0.33619711870312907,0.0
0.5043454170227051,0.0,[0.30854913],0.005,0.1,0.0,-0.33978876702098654,0.0
0.5144221782684326,0.0,[0.31208579],0.005,0.1,0.0,-0.415258743034045,0.0
0.5237486362457275,0.0,[0.3157267],0.005,0.1,0.0,-0.6440470031263825,0.0
0.5313565731048584,0.0,[0.31949574],0.005,0.1,0.0,-0.6547497397447231,0.0
0.5408022403717041,0.0,[0.32336785],0.005,0.1,0.0,-0.4855506814328566,0.0
0.5520431995391846,0.0,[0.32732024],0.005,0.1,0.0,-0.5316779885213048,0.0
